segment name,compressed rom offset start,compressed rom offset end,uncompressed hash,compression level,compression tool
segment_game_p2,0x2D7830,0x2DC490,79f23f099957aaa10202578d0f5987d8,9,gzip
segment_game_p4,0x2DC490,0x2E6500,232db3de2104ae6a69e9856633eba0d4,9,gzip
segment_game_ls,0x2E6500,0x2F8E80,74a26a410e526064d4c74a9954391af2,9,gzip
segment_game_item,0x2F8E80,0x2F96A0,cb30ad0c2ae61a47c33ae92d84584cad,9,gzip
segment_anime_a,0x2F96A0,0x2FD060,aedfbd73632f87604c69c64ce7d68836,9,gzip
segment_anime_b,0x2FD060,0x2FEC70,484395f70d2b8cec6106527650722bb7,9,gzip
segment_anime_c,0x2FEC70,0x301920,6167518207f56be8da8b0bacb1ac1b0a,9,gzip
segment_anime_d,0x301920,0x303A60,0e4a1fe21841b7d5ffe53803fea7abdb,9,gzip
segment_anime_e,0x303A60,0x3057A0,6c28e8adf7c569f94858b82ea5db4d1d,9,gzip
segment_anime_f,0x3057A0,0x307ED0,02472fb7d7758e021dc5875d061021b3,9,gzip
segment_anime_g,0x307ED0,0x30A220,85615835ea89a23030b7f10fa86149b8,9,gzip
segment_anime_h,0x30A220,0x30BE80,bad4180858c5b4a3d942fc6948aca7e6,9,gzip
segment_anime_i,0x30BE80,0x30E3A0,1702ac5e8c07c1fda7a40e5ea0e76942,9,gzip
segment_anime_j,0x30E3A0,0x310250,c41f1d1ae599abc86abec2191aff6564,9,gzip
segment_anime_k,0x310250,0x311DC0,252fa7f2d52b82bacd868cb02a15a56b,9,gzip
segment_anime_l,0x311DC0,0x3142D0,8f028b57a7797106b2b79f209bfc1bba,9,gzip
segment_anime_m,0x3142D0,0x3165B0,4f3368b67354938facbc5fcaaf9ec9f0,9,gzip
segment_anime_n,0x3165B0,0x3185A0,21030460e48f28fe20d0041b75076c22,9,gzip
segment_anime_o,0x3185A0,0x31AB50,36ff01ecf7e3fe76056fc8fe28a7faf9,9,gzip
segment_anime_mario,0x31AB50,0x326990,8f659b67101a7b5af14c821db77c8cae,9,gzip
segment_anime_virus_b,0x326990,0x327CE0,8ec4a59d47048757ae67fad65e05a668,9,gzip
segment_anime_virus_r,0x327CE0,0x328B80,bea671f79a28a45ecd5c8ac49194666a,9,gzip
segment_anime_virus_y,0x328B80,0x3299F0,f1aeb794f59e5a0278acc470415de706,9,gzip
segment_anime_smog,0x3299F0,0x329FF0,6b28be0ff6a6d20944991cef3dc1cd27,9,gzip
segment_tutorial_data,0x329FF0,0x32CCA0,387b447b16368266f45e35150f254685,9,gzip
